ID,Warehouse_block,Region,Manager,Cost_of_the_Product
5490,F,Central,Eve,259
5491,D,West,David,135
5492,F,Central,Eve,196
5493,A,North,Alice,132
5494,B,East,Bob,256
5495,C,South,Carol,240
5496,F,Central,Eve,225
5497,D,West,David,205
5498,F,Central,Eve,146
5499,A,North,Alice,281
5500,B,East,Bob,256
5501,C,South,Carol,304
5502,F,Central,Eve,285
5503,D,West,David,283
5504,F,Central,Eve,304
5505,A,North,Alice,282
5506,B,East,Bob,304
5507,C,South,Carol,301
5508,F,Central,Eve,296
5509,D,West,David,264
5510,F,Central,Eve,304
5511,A,North,Alice,305
5512,B,East,Bob,309
5513,C,South,Carol,266
5514,F,Central,Eve,233
5515,D,West,David,287
5516,F,Central,Eve,268
5517,A,North,Alice,290
5518,B,East,Bob,291
5519,C,South,Carol,227
5520,F,Central,Eve,222
5521,D,West,David,301
5522,F,Central,Eve,304
5523,A,North,Alice,133
5524,B,East,Bob,218
5525,C,South,Carol,304
5526,F,Central,Eve,260
5527,D,West,David,252
5528,F,Central,Eve,253
5529,A,North,Alice,248
5530,B,East,Bob,237
5531,C,South,Carol,264
5532,F,Central,Eve,308
5533,D,West,David,270
5534,F,Central,Eve,269
5535,A,North,Alice,271
5536,B,East,Bob,244
5537,C,South,Carol,245
5538,F,Central,Eve,219
5539,D,West,David,257
5540,F,Central,Eve,226
5541,A,North,Alice,200
5542,B,East,Bob,260
5543,C,South,Carol,142
5544,F,Central,Eve,193
5545,D,West,David,180
5546,F,Central,Eve,232
5547,A,North,Alice,148
5548,B,East,Bob,205
5549,C,South,Carol,212
5550,F,Central,Eve,168
5551,D,West,David,145
5552,F,Central,Eve,253
5553,A,North,Alice,143
5554,B,East,Bob,267
5555,C,South,Carol,123
5556,F,Central,Eve,106
5557,D,West,David,249
5558,F,Central,Eve,178
5559,A,North,Alice,148
5560,B,East,Bob,144
5561,C,South,Carol,249
5562,F,Central,Eve,128
5563,D,West,David,228
5564,F,Central,Eve,242
5565,A,North,Alice,272
5566,B,East,Bob,173
5567,C,South,Carol,189
5568,F,Central,Eve,245
5569,D,West,David,211
5570,F,Central,Eve,214
5571,A,North,Alice,215
5572,B,East,Bob,248
5573,C,South,Carol,225
5574,F,Central,Eve,120
5575,D,West,David,243
5576,F,Central,Eve,214
5577,A,North,Alice,144
5578,B,East,Bob,242
5579,C,South,Carol,160
5580,F,Central,Eve,139
5581,D,West,David,221
5582,F,Central,Eve,266
5583,A,North,Alice,140
5584,B,East,Bob,134
5585,C,South,Carol,260
5586,F,Central,Eve,261
5587,D,West,David,274
5588,F,Central,Eve,263
5589,A,North,Alice,189
5590,B,East,Bob,257
5591,C,South,Carol,195
5592,F,Central,Eve,201
5593,D,West,David,264
5594,F,Central,Eve,180
5595,A,North,Alice,220
5596,B,East,Bob,113
5597,C,South,Carol,168
5598,F,Central,Eve,251
5599,D,West,David,245
5600,F,Central,Eve,164
5601,A,North,Alice,232
5602,B,East,Bob,138
5603,C,South,Carol,233
5604,F,Central,Eve,150
5605,D,West,David,253
5606,F,Central,Eve,179
5607,A,North,Alice,135
5608,B,East,Bob,166
5609,C,South,Carol,196
5610,F,Central,Eve,238
5611,D,West,David,159
5612,F,Central,Eve,226
5613,A,North,Alice,182
5614,B,East,Bob,173
5615,C,South,Carol,257
5616,F,Central,Eve,223
5617,D,West,David,194
5618,F,Central,Eve,281
5619,A,North,Alice,236
5620,B,East,Bob,165
5621,C,South,Carol,200
5622,F,Central,Eve,168
5623,D,West,David,266
5624,F,Central,Eve,226
5625,A,North,Alice,143
5626,B,East,Bob,116
5627,C,South,Carol,139
5628,F,Central,Eve,248
5629,D,West,David,135
5630,F,Central,Eve,265
5631,A,North,Alice,175
5632,B,East,Bob,256
5633,C,South,Carol,217
5634,F,Central,Eve,203
5635,D,West,David,145
5636,F,Central,Eve,268
5637,A,North,Alice,206
5638,B,East,Bob,215
5639,C,South,Carol,177
5640,F,Central,Eve,183
5641,D,West,David,227
5642,F,Central,Eve,209
5643,A,North,Alice,193
5644,B,East,Bob,144
5645,C,South,Carol,192
5646,F,Central,Eve,247
5647,D,West,David,199
5648,F,Central,Eve,273
5649,A,North,Alice,232
5650,B,East,Bob,214
5651,C,South,Carol,156
5652,F,Central,Eve,200
5653,D,West,David,196
5654,F,Central,Eve,189
5655,A,North,Alice,266
5656,B,East,Bob,198
5657,C,South,Carol,144
5658,F,Central,Eve,217
5659,D,West,David,169
5660,F,Central,Eve,153
5661,A,North,Alice,152
5662,B,East,Bob,245
5663,C,South,Carol,237
5664,F,Central,Eve,266
5665,D,West,David,216
5666,F,Central,Eve,186
5667,A,North,Alice,280
5668,B,East,Bob,229
5669,C,South,Carol,225
5670,F,Central,Eve,149
5671,D,West,David,200
5672,F,Central,Eve,246
5673,A,North,Alice,150
5674,B,East,Bob,175
5675,C,South,Carol,141
5676,F,Central,Eve,102
5677,D,West,David,209
5678,F,Central,Eve,287
5679,A,North,Alice,212
5680,B,East,Bob,205
5681,C,South,Carol,180
5682,F,Central,Eve,229
5683,D,West,David,182
5684,F,Central,Eve,183
5685,A,North,Alice,212
5686,B,East,Bob,235
5687,C,South,Carol,210
5688,F,Central,Eve,111
5689,D,West,David,270
5690,F,Central,Eve,135
5691,A,North,Alice,143
5692,B,East,Bob,216
5693,C,South,Carol,136
5694,F,Central,Eve,145
5695,D,West,David,142
5696,F,Central,Eve,175
5697,A,North,Alice,183
5698,B,East,Bob,191
5699,C,South,Carol,247
5700,F,Central,Eve,170
5701,D,West,David,275
5702,F,Central,Eve,147
5703,A,North,Alice,188
5704,B,East,Bob,248
5705,C,South,Carol,245
5706,F,Central,Eve,164
5707,D,West,David,260
5708,F,Central,Eve,149
5709,A,North,Alice,174
5710,B,East,Bob,242
5711,C,South,Carol,134
5712,F,Central,Eve,189
5713,D,West,David,263
5714,F,Central,Eve,280
5715,A,North,Alice,258
5716,B,East,Bob,179
5717,C,South,Carol,250
5718,F,Central,Eve,212
5719,D,West,David,236
5720,F,Central,Eve,239
5721,A,North,Alice,305
5722,B,East,Bob,309
5723,C,South,Carol,266
5724,F,Central,Eve,233
5725,D,West,David,287
5726,F,Central,Eve,268
5727,A,North,Alice,290
5728,B,East,Bob,291
5729,C,South,Carol,227
5730,F,Central,Eve,175
5731,D,West,David,183
5732,F,Central,Eve,191
5733,A,North,Alice,247
5734,B,East,Bob,170
5735,C,South,Carol,275
5736,F,Central,Eve,147
5737,D,West,David,188
5738,F,Central,Eve,248
5739,A,North,Alice,245
5740,B,East,Bob,164
5741,C,South,Carol,260
5742,F,Central,Eve,149
5743,D,West,David,174
5744,F,Central,Eve,242
5745,A,North,Alice,134
5746,B,East,Bob,189
5747,C,South,Carol,263
5748,F,Central,Eve,280
5749,D,West,David,258
5750,F,Central,Eve,179
5751,A,North,Alice,250
5752,B,East,Bob,212
5753,C,South,Carol,236
5754,F,Central,Eve,239
5755,D,West,David,305
5756,F,Central,Eve,309
5757,A,North,Alice,266
5758,B,East,Bob,233
5759,C,South,Carol,287
5760,F,Central,Eve,268
5761,D,West,David,290
5762,F,Central,Eve,244
5763,A,North,Alice,245
5764,B,East,Bob,219
5765,C,South,Carol,257
5766,F,Central,Eve,250
5767,D,West,David,249
5768,F,Central,Eve,259
5769,A,North,Alice,266
5770,B,East,Bob,244
5771,C,South,Carol,239
5772,F,Central,Eve,270
5773,D,West,David,270
5774,F,Central,Eve,257
5775,A,North,Alice,243
5776,B,East,Bob,264
5777,C,South,Carol,224
5778,F,Central,Eve,304
5779,D,West,David,243
5780,F,Central,Eve,272
5781,A,North,Alice,269
5782,B,East,Bob,267
5783,C,South,Carol,251
5784,F,Central,Eve,249
5785,D,West,David,284
5786,F,Central,Eve,254
5787,A,North,Alice,269
5788,B,East,Bob,265
5789,C,South,Carol,220
5790,F,Central,Eve,217
5791,D,West,David,285
5792,F,Central,Eve,265
5793,A,North,Alice,240
5794,B,East,Bob,247
5795,C,South,Carol,179
5796,F,Central,Eve,142
5797,D,West,David,207
5798,F,Central,Eve,183
5799,A,North,Alice,167
5800,B,East,Bob,175
5801,C,South,Carol,183
5802,F,Central,Eve,176
5803,D,West,David,187
5804,F,Central,Eve,143
5805,A,North,Alice,136
5806,B,East,Bob,178
5807,C,South,Carol,208
5808,F,Central,Eve,171
5809,D,West,David,197
5810,F,Central,Eve,179
5811,A,North,Alice,197
5812,B,East,Bob,285
5813,C,South,Carol,141
5814,F,Central,Eve,274
5815,D,West,David,287
5816,F,Central,Eve,218
5817,A,North,Alice,213
5818,B,East,Bob,207
5819,C,South,Carol,273
5820,F,Central,Eve,185
5821,D,West,David,192
5822,F,Central,Eve,276
5823,A,North,Alice,229
5824,B,East,Bob,248
5825,C,South,Carol,267
5826,F,Central,Eve,272
5827,D,West,David,153
5828,F,Central,Eve,246
5829,A,North,Alice,261
5830,B,East,Bob,207
5831,C,South,Carol,133
5832,F,Central,Eve,269
5833,D,West,David,251
5834,F,Central,Eve,252
5835,A,North,Alice,135
5836,B,East,Bob,273
5837,C,South,Carol,168
5838,F,Central,Eve,233
5839,D,West,David,133
5840,F,Central,Eve,147
5841,A,North,Alice,249
5842,B,East,Bob,259
5843,C,South,Carol,194
5844,F,Central,Eve,134
5845,D,West,David,98
5846,F,Central,Eve,138
5847,A,North,Alice,193
5848,B,East,Bob,184
5849,C,South,Carol,172
5850,F,Central,Eve,248
5851,D,West,David,114
5852,F,Central,Eve,201
5853,A,North,Alice,206
5854,B,East,Bob,185
5855,C,South,Carol,272
5856,F,Central,Eve,266
5857,D,West,David,203
5858,F,Central,Eve,218
5859,A,North,Alice,279
5860,B,East,Bob,159
5861,C,South,Carol,138
5862,F,Central,Eve,224
5863,D,West,David,269
5864,F,Central,Eve,121
5865,A,North,Alice,134
5866,B,East,Bob,259
5867,C,South,Carol,206
5868,F,Central,Eve,209
5869,D,West,David,145
5870,F,Central,Eve,164
5871,A,North,Alice,133
5872,B,East,Bob,178
5873,C,South,Carol,175
5874,F,Central,Eve,242
5875,D,West,David,202
5876,F,Central,Eve,176
5877,A,North,Alice,203
5878,B,East,Bob,207
5879,C,South,Carol,268
5880,F,Central,Eve,244
5881,D,West,David,134
5882,F,Central,Eve,143
5883,A,North,Alice,246
5884,B,East,Bob,157
5885,C,South,Carol,169
5886,F,Central,Eve,231
5887,D,West,David,262
5888,F,Central,Eve,227
5889,A,North,Alice,162
5890,B,East,Bob,148
5891,C,South,Carol,138
5892,F,Central,Eve,255
5893,D,West,David,218
5894,F,Central,Eve,260
5895,A,North,Alice,142
5896,B,East,Bob,257
5897,C,South,Carol,252
5898,F,Central,Eve,151
5899,D,West,David,190
5900,F,Central,Eve,137
5901,A,North,Alice,164
5902,B,East,Bob,271
5903,C,South,Carol,162
5904,F,Central,Eve,221
5905,D,West,David,202
5906,F,Central,Eve,143
5907,A,North,Alice,254
5908,B,East,Bob,96
5909,C,South,Carol,199
5910,F,Central,Eve,198
5911,D,West,David,257
5912,F,Central,Eve,149
5913,A,North,Alice,193
5914,B,East,Bob,284
5915,C,South,Carol,205
5916,F,Central,Eve,185
5917,D,West,David,268
5918,F,Central,Eve,252
5919,A,North,Alice,196
5920,B,East,Bob,149
5921,C,South,Carol,154
5922,F,Central,Eve,267
5923,D,West,David,208
5924,F,Central,Eve,275
5925,A,North,Alice,272
5926,B,East,Bob,280
5927,C,South,Carol,202
5928,F,Central,Eve,184
5929,D,West,David,244
5930,F,Central,Eve,138
5931,A,North,Alice,109
5932,B,East,Bob,189
5933,C,South,Carol,170
5934,F,Central,Eve,183
5935,D,West,David,263
5936,F,Central,Eve,271
5937,A,North,Alice,202
5938,B,East,Bob,265
5939,C,South,Carol,220
5940,F,Central,Eve,274
5941,D,West,David,212
5942,F,Central,Eve,244
5943,A,North,Alice,252
5944,B,East,Bob,158
5945,C,South,Carol,286
5946,F,Central,Eve,164
5947,D,West,David,170
5948,F,Central,Eve,269
5949,A,North,Alice,238
5950,B,East,Bob,198
5951,C,South,Carol,184
5952,F,Central,Eve,265
5953,D,West,David,204
5954,F,Central,Eve,233
5955,A,North,Alice,134
5956,B,East,Bob,153
5957,C,South,Carol,241
5958,F,Central,Eve,187
5959,D,West,David,148
5960,F,Central,Eve,133
5961,A,North,Alice,250
5962,B,East,Bob,249
5963,C,South,Carol,259
5964,F,Central,Eve,266
5965,D,West,David,244
5966,F,Central,Eve,239
5967,A,North,Alice,270
5968,B,East,Bob,270
5969,C,South,Carol,257
5970,F,Central,Eve,243
5971,D,West,David,271
5972,F,Central,Eve,202
5973,A,North,Alice,265
5974,B,East,Bob,220
5975,C,South,Carol,274
5976,F,Central,Eve,212
5977,D,West,David,244
5978,F,Central,Eve,252
5979,A,North,Alice,158
5980,B,East,Bob,286
5981,C,South,Carol,164
5982,F,Central,Eve,170
5983,D,West,David,269
5984,F,Central,Eve,238
5985,A,North,Alice,198
5986,B,East,Bob,184
5987,C,South,Carol,265
5988,F,Central,Eve,204
5989,D,West,David,233
5990,F,Central,Eve,134
5991,A,North,Alice,153
5992,B,East,Bob,241
5993,C,South,Carol,187
5994,F,Central,Eve,148
5995,D,West,David,133
5996,F,Central,Eve,250
5997,A,North,Alice,249
5998,B,East,Bob,259
5999,C,South,Carol,266
6000,F,Central,Eve,244
6001,D,West,David,239
6002,F,Central,Eve,270
6003,A,North,Alice,282
6004,B,East,Bob,295
6005,C,South,Carol,255
6006,F,Central,Eve,292
6007,D,West,David,244
6008,F,Central,Eve,306
6009,A,North,Alice,258
6010,B,East,Bob,265
6011,C,South,Carol,227
6012,F,Central,Eve,276
6013,D,West,David,244
6014,F,Central,Eve,217
6015,A,North,Alice,211
6016,B,East,Bob,227
6017,C,South,Carol,249
6018,F,Central,Eve,269
6019,D,West,David,278
6020,F,Central,Eve,282
6021,A,North,Alice,300
6022,B,East,Bob,259
6023,C,South,Carol,295
6024,F,Central,Eve,238
6025,D,West,David,270
6026,F,Central,Eve,267
6027,A,North,Alice,270
6028,B,East,Bob,245
6029,C,South,Carol,262
6030,F,Central,Eve,245
6031,D,West,David,268
6032,F,Central,Eve,262
6033,A,North,Alice,283
6034,B,East,Bob,260
6035,C,South,Carol,258
6036,F,Central,Eve,130
6037,D,West,David,262
6038,F,Central,Eve,293
6039,A,North,Alice,255
6040,B,East,Bob,242
6041,C,South,Carol,264
6042,F,Central,Eve,253
6043,D,West,David,271
6044,F,Central,Eve,250
6045,A,North,Alice,266
6046,B,East,Bob,286
6047,C,South,Carol,275
6048,F,Central,Eve,295
6049,D,West,David,269
6050,F,Central,Eve,239
6051,A,North,Alice,271
6052,B,East,Bob,165
6053,C,South,Carol,302
6054,F,Central,Eve,293
6055,D,West,David,202
6056,F,Central,Eve,185
6057,A,North,Alice,210
6058,B,East,Bob,186
6059,C,South,Carol,163
6060,F,Central,Eve,168
6061,D,West,David,199
6062,F,Central,Eve,271
6063,A,North,Alice,164
6064,B,East,Bob,231
6065,C,South,Carol,196
6066,F,Central,Eve,218
6067,D,West,David,267
6068,F,Central,Eve,163
6069,A,North,Alice,224
6070,B,East,Bob,156
6071,C,South,Carol,175
6072,F,Central,Eve,257
6073,D,West,David,259
6074,F,Central,Eve,112
6075,A,North,Alice,145
6076,B,East,Bob,230
6077,C,South,Carol,188
6078,F,Central,Eve,132
6079,D,West,David,239
6080,F,Central,Eve,167
6081,A,North,Alice,133
6082,B,East,Bob,270
6083,C,South,Carol,229
6084,F,Central,Eve,261
6085,D,West,David,192
6086,F,Central,Eve,217
6087,A,North,Alice,246
6088,B,East,Bob,208
6089,C,South,Carol,148
6090,F,Central,Eve,132
6091,D,West,David,249
6092,F,Central,Eve,225
6093,A,North,Alice,279
6094,B,East,Bob,183
6095,C,South,Carol,215
6096,F,Central,Eve,195
6097,D,West,David,156
6098,F,Central,Eve,160
6099,A,North,Alice,153
6100,B,East,Bob,215
6101,C,South,Carol,163
6102,F,Central,Eve,195
6103,D,West,David,170
6104,F,Central,Eve,133
6105,A,North,Alice,171
6106,B,East,Bob,186
6107,C,South,Carol,246
6108,F,Central,Eve,170
6109,D,West,David,189
6110,F,Central,Eve,216
6111,A,North,Alice,264
6112,B,East,Bob,268
6113,C,South,Carol,225
6114,F,Central,Eve,252
6115,D,West,David,204
6116,F,Central,Eve,193
6117,A,North,Alice,220
6118,B,East,Bob,271
6119,C,South,Carol,227
6120,F,Central,Eve,206
6121,D,West,David,142
6122,F,Central,Eve,236
6123,A,North,Alice,275
6124,B,East,Bob,144
6125,C,South,Carol,194
6126,F,Central,Eve,260
6127,D,West,David,240
6128,F,Central,Eve,136
6129,A,North,Alice,132
6130,B,East,Bob,266
6131,C,South,Carol,263
6132,F,Central,Eve,270
6133,D,West,David,208
6134,F,Central,Eve,206
6135,A,North,Alice,159
6136,B,East,Bob,162
6137,C,South,Carol,177
6138,F,Central,Eve,168
6139,D,West,David,267
6140,F,Central,Eve,222
6141,A,North,Alice,234
6142,B,East,Bob,133
6143,C,South,Carol,207
6144,F,Central,Eve,243
6145,D,West,David,161
6146,F,Central,Eve,193
6147,A,North,Alice,234
6148,B,East,Bob,185
6149,C,South,Carol,242
6150,F,Central,Eve,252
6151,D,West,David,179
6152,F,Central,Eve,158
6153,A,North,Alice,226
6154,B,East,Bob,269
6155,C,South,Carol,148
6156,F,Central,Eve,159
6157,D,West,David,273
6158,F,Central,Eve,233
6159,A,North,Alice,182
6160,B,East,Bob,153
6161,C,South,Carol,210
6162,F,Central,Eve,241
6163,D,West,David,220
6164,F,Central,Eve,211
6165,A,North,Alice,151
6166,B,East,Bob,267
6167,C,South,Carol,250
6168,F,Central,Eve,181
6169,D,West,David,197
6170,F,Central,Eve,172
6171,A,North,Alice,219
6172,B,East,Bob,189
6173,C,South,Carol,225
6174,F,Central,Eve,269
6175,D,West,David,157
6176,F,Central,Eve,189
6177,A,North,Alice,226
6178,B,East,Bob,220
6179,C,South,Carol,275
6180,F,Central,Eve,171
6181,D,West,David,235
6182,F,Central,Eve,201
6183,A,North,Alice,269
6184,B,East,Bob,182
6185,C,South,Carol,266
6186,F,Central,Eve,157
6187,D,West,David,258
6188,F,Central,Eve,280
6189,A,North,Alice,154
6190,B,East,Bob,274
6191,C,South,Carol,180
6192,F,Central,Eve,146
6193,D,West,David,236
6194,F,Central,Eve,133
6195,A,North,Alice,173
6196,B,East,Bob,210
6197,C,South,Carol,238
6198,F,Central,Eve,268
6199,D,West,David,175
6200,F,Central,Eve,280
6201,A,North,Alice,153
6202,B,East,Bob,251
6203,C,South,Carol,252
6204,F,Central,Eve,201
6205,D,West,David,216
6206,F,Central,Eve,126
6207,A,North,Alice,177
6208,B,East,Bob,145
6209,C,South,Carol,258
6210,F,Central,Eve,273
6211,D,West,David,245
6212,F,Central,Eve,241
6213,A,North,Alice,208
6214,B,East,Bob,282
6215,C,South,Carol,295
6216,F,Central,Eve,255
6217,D,West,David,292
6218,F,Central,Eve,244
6219,A,North,Alice,306
6220,B,East,Bob,258
6221,C,South,Carol,265
6222,F,Central,Eve,227
6223,D,West,David,276
6224,F,Central,Eve,244
6225,A,North,Alice,217
6226,B,East,Bob,211
6227,C,South,Carol,227
6228,F,Central,Eve,249
6229,D,West,David,269
6230,F,Central,Eve,278
6231,A,North,Alice,282
6232,B,East,Bob,300
6233,C,South,Carol,146
6234,F,Central,Eve,236
6235,D,West,David,133
6236,F,Central,Eve,173
6237,A,North,Alice,210
6238,B,East,Bob,238
6239,C,South,Carol,268
6240,F,Central,Eve,175
6241,D,West,David,280
6242,F,Central,Eve,153
6243,A,North,Alice,251
6244,B,East,Bob,252
6245,C,South,Carol,201
6246,F,Central,Eve,216
6247,D,West,David,126
6248,F,Central,Eve,177
6249,A,North,Alice,145
6250,B,East,Bob,258
6251,C,South,Carol,273
6252,F,Central,Eve,245
6253,D,West,David,241
6254,F,Central,Eve,208
6255,A,North,Alice,282
6256,B,East,Bob,295
6257,C,South,Carol,255
6258,F,Central,Eve,292
6259,D,West,David,244
6260,F,Central,Eve,306
6261,A,North,Alice,258
6262,B,East,Bob,265
6263,C,South,Carol,227
6264,F,Central,Eve,276
6265,D,West,David,244
6266,F,Central,Eve,217
6267,A,North,Alice,211
6268,B,East,Bob,227
6269,C,South,Carol,249
6270,F,Central,Eve,302
6271,D,West,David,293
6272,F,Central,Eve,232
6273,A,North,Alice,279
6274,B,East,Bob,251
6275,C,South,Carol,300
6276,F,Central,Eve,133
6277,D,West,David,283
6278,F,Central,Eve,296
6279,A,North,Alice,261
6280,B,East,Bob,286
6281,C,South,Carol,298
6282,F,Central,Eve,287
6283,D,West,David,251
6284,F,Central,Eve,231
6285,A,North,Alice,249
6286,B,East,Bob,244
6287,C,South,Carol,264
6288,F,Central,Eve,254
6289,D,West,David,264
6290,F,Central,Eve,309
6291,A,North,Alice,298
6292,B,East,Bob,265
6293,C,South,Carol,246
6294,F,Central,Eve,222
6295,D,West,David,250
6296,F,Central,Eve,240
6297,A,North,Alice,246
6298,B,East,Bob,293
6299,C,South,Carol,253
6300,F,Central,Eve,258
6301,D,West,David,258
6302,F,Central,Eve,245
6303,A,North,Alice,307
6304,B,East,Bob,301
6305,C,South,Carol,252
6306,F,Central,Eve,272
6307,D,West,David,221
6308,F,Central,Eve,247
6309,A,North,Alice,260
6310,B,East,Bob,251
6311,C,South,Carol,227
6312,F,Central,Eve,269
6313,D,West,David,161
6314,F,Central,Eve,256
6315,A,North,Alice,303
6316,B,East,Bob,257
6317,C,South,Carol,310
6318,F,Central,Eve,238
6319,D,West,David,191
6320,F,Central,Eve,252
6321,A,North,Alice,228
6322,B,East,Bob,208
6323,C,South,Carol,176
6324,F,Central,Eve,233
6325,D,West,David,104
6326,F,Central,Eve,237
6327,A,North,Alice,252
6328,B,East,Bob,135
6329,C,South,Carol,137
6330,F,Central,Eve,228
6331,D,West,David,236
6332,F,Central,Eve,239
6333,A,North,Alice,199
6334,B,East,Bob,269
6335,C,South,Carol,226
6336,F,Central,Eve,264
6337,D,West,David,264
6338,F,Central,Eve,186
6339,A,North,Alice,154
6340,B,East,Bob,239
6341,C,South,Carol,139
6342,F,Central,Eve,138
6343,D,West,David,286
6344,F,Central,Eve,275
6345,A,North,Alice,195
6346,B,East,Bob,267
6347,C,South,Carol,223
6348,F,Central,Eve,198
6349,D,West,David,250
6350,F,Central,Eve,237
6351,A,North,Alice,193
6352,B,East,Bob,216
6353,C,South,Carol,253
6354,F,Central,Eve,132
6355,D,West,David,140
6356,F,Central,Eve,114
6357,A,North,Alice,238
6358,B,East,Bob,210
6359,C,South,Carol,272
6360,F,Central,Eve,184
6361,D,West,David,168
6362,F,Central,Eve,231
6363,A,North,Alice,143
6364,B,East,Bob,182
6365,C,South,Carol,221
6366,F,Central,Eve,225
6367,D,West,David,227
6368,F,Central,Eve,266
6369,A,North,Alice,247
6370,B,East,Bob,154
6371,C,South,Carol,179
6372,F,Central,Eve,249
6373,D,West,David,156
6374,F,Central,Eve,206
6375,A,North,Alice,245
6376,B,East,Bob,197
6377,C,South,Carol,188
6378,F,Central,Eve,237
6379,D,West,David,174
6380,F,Central,Eve,266
6381,A,North,Alice,151
6382,B,East,Bob,271
6383,C,South,Carol,214
6384,F,Central,Eve,261
6385,D,West,David,166
6386,F,Central,Eve,269
6387,A,North,Alice,167
6388,B,East,Bob,200
6389,C,South,Carol,159
6390,F,Central,Eve,197
6391,D,West,David,219
6392,F,Central,Eve,239
6393,A,North,Alice,146
6394,B,East,Bob,173
6395,C,South,Carol,220
6396,F,Central,Eve,185
6397,D,West,David,170
6398,F,Central,Eve,250
6399,A,North,Alice,145
6400,B,East,Bob,211
6401,C,South,Carol,249
6402,F,Central,Eve,237
6403,D,West,David,144
6404,F,Central,Eve,171
6405,A,North,Alice,203
6406,B,East,Bob,137
6407,C,South,Carol,212
6408,F,Central,Eve,209
6409,D,West,David,223
6410,F,Central,Eve,164
6411,A,North,Alice,220
6412,B,East,Bob,216
6413,C,South,Carol,215
6414,F,Central,Eve,146
6415,D,West,David,168
6416,F,Central,Eve,218
6417,A,North,Alice,143
6418,B,East,Bob,233
6419,C,South,Carol,195
6420,F,Central,Eve,206
6421,D,West,David,181
6422,F,Central,Eve,150
6423,A,North,Alice,258
6424,B,East,Bob,149
6425,C,South,Carol,163
6426,F,Central,Eve,259
6427,D,West,David,187
6428,F,Central,Eve,172
6429,A,North,Alice,139
6430,B,East,Bob,203
6431,C,South,Carol,150
6432,F,Central,Eve,201
6433,D,West,David,194
6434,F,Central,Eve,159
6435,A,North,Alice,238
6436,B,East,Bob,189
6437,C,South,Carol,173
6438,F,Central,Eve,171
6439,D,West,David,154
6440,F,Central,Eve,173
6441,A,North,Alice,186
6442,B,East,Bob,224
6443,C,South,Carol,186
6444,F,Central,Eve,196
6445,D,West,David,149
6446,F,Central,Eve,224
6447,A,North,Alice,154
6448,B,East,Bob,170
6449,C,South,Carol,150
6450,F,Central,Eve,240
6451,D,West,David,139
6452,F,Central,Eve,251
6453,A,North,Alice,237
6454,B,East,Bob,227
6455,C,South,Carol,131
6456,F,Central,Eve,161
6457,D,West,David,195
6458,F,Central,Eve,266
6459,A,North,Alice,198
6460,B,East,Bob,200
6461,C,South,Carol,196
6462,F,Central,Eve,285
6463,D,West,David,265
6464,F,Central,Eve,131
6465,A,North,Alice,216
6466,B,East,Bob,253
6467,C,South,Carol,230
6468,F,Central,Eve,173
6469,D,West,David,206
6470,F,Central,Eve,189
6471,A,North,Alice,270
6472,B,East,Bob,266
6473,C,South,Carol,270
6474,F,Central,Eve,216
6475,D,West,David,147
6476,F,Central,Eve,270
6477,A,North,Alice,261
6478,B,East,Bob,261
6479,C,South,Carol,177
6480,F,Central,Eve,142
6481,D,West,David,222
6482,F,Central,Eve,186
6483,A,North,Alice,177
6484,B,East,Bob,251
6485,C,South,Carol,240
6486,F,Central,Eve,260
6487,D,West,David,206
6488,F,Central,Eve,242
6489,A,North,Alice,194
6490,B,East,Bob,232
6491,C,South,Carol,279
6492,F,Central,Eve,251
6493,D,West,David,300
6494,F,Central,Eve,133
6495,A,North,Alice,283
6496,B,East,Bob,296
6497,C,South,Carol,261
6498,F,Central,Eve,286
6499,D,West,David,298
6500,F,Central,Eve,287
6501,A,North,Alice,251
6502,B,East,Bob,231
6503,C,South,Carol,249
6504,F,Central,Eve,244
6505,D,West,David,264
6506,F,Central,Eve,254
6507,A,North,Alice,264
6508,B,East,Bob,309
6509,C,South,Carol,298
6510,F,Central,Eve,265
6511,D,West,David,246
6512,F,Central,Eve,222
6513,A,North,Alice,250
6514,B,East,Bob,240
6515,C,South,Carol,246
6516,F,Central,Eve,293
6517,D,West,David,189
6518,F,Central,Eve,270
6519,A,North,Alice,266
6520,B,East,Bob,270
6521,C,South,Carol,216
6522,F,Central,Eve,147
6523,D,West,David,270
6524,F,Central,Eve,261
6525,A,North,Alice,261
6526,B,East,Bob,177
6527,C,South,Carol,142
6528,F,Central,Eve,222
6529,D,West,David,186
6530,F,Central,Eve,177
6531,A,North,Alice,251
6532,B,East,Bob,240
6533,C,South,Carol,260
6534,F,Central,Eve,206
6535,D,West,David,242
6536,F,Central,Eve,194
6537,A,North,Alice,232
6538,B,East,Bob,279
6539,C,South,Carol,251
6540,F,Central,Eve,300
6541,D,West,David,133
6542,F,Central,Eve,283
6543,A,North,Alice,296
6544,B,East,Bob,261
6545,C,South,Carol,286
6546,F,Central,Eve,298
6547,D,West,David,287
6548,F,Central,Eve,251
6549,A,North,Alice,231
6550,B,East,Bob,249
6551,C,South,Carol,244
6552,F,Central,Eve,264
6553,D,West,David,254
6554,F,Central,Eve,264
6555,A,North,Alice,309
6556,B,East,Bob,298
6557,C,South,Carol,265
6558,F,Central,Eve,246
6559,D,West,David,222
6560,F,Central,Eve,250
6561,A,North,Alice,269
6562,B,East,Bob,161
6563,C,South,Carol,256
